file	name	kind	old	new
skse64/GameReferences.cpp	CreateRefHandleByREFR	Addr	0x00179050	0x0017E640
skse64/GameReferences.cpp	LookupREFRByHandle	Addr	0x001795F0	0x0017EBE0
skse64/GameReferences.cpp	LookupREFRObjectByHandle	Addr	0x00179710	0x0017ED00
skse64/GameEvents.cpp	GetEventDispatcherList	Addr	0x001D5230	0x001DA8F0
skse64/GameForms.cpp	LookupFormByID	Addr	0x001E01A0	0x001E5860
skse64/GameForms.cpp	LookupFormByEditorID	Addr	0x001E0370	0x001E5A30
skse64/GameData.cpp	UpdateHarvestModel	Addr	0x001E9450	0x001EEB10
skse64/GameForms.cpp	GetFormWeight_Address	Addr	0x001EE0F0	0x001F37B0
skse64/ObScript.cpp	ObScript_ExtractArgs	Addr	0x0033E640	0x00344CA0
skse64/GameData.cpp	GetLeftHandSlot	Addr	0x00388970	0x0038FA30
skse64/GameData.cpp	GetRightHandSlot	Addr	0x00388980	0x0038FA40
skse64/GameData.cpp	GetEitherHandSlot	Addr	0x00388990	0x0038FA50
skse64/Hooks_Gameplay.cpp	kHook_BGSKeyword_Base	Addr	0x0038ACF0	0x00391DB0
skse64/GameData.cpp	GetRelationshipIndex	Addr	0x0039DD40	0x003A4E00
skse64/GameData.cpp	GetActorBaseOverlays	Addr	0x003C1C40	0x003C8D00
skse64/GameData.cpp	GetNumActorBaseOverlays	Addr	0x003C1CD0	0x003C8D90
skse64/GameData.cpp	ApplyMasksToRenderTarget	Addr	0x00435110	0x0043C530
skse64/GameData.cpp	UpdateModelFace	Addr	0x00435C50	0x0043D080
skse64/GameData.cpp	ChangeActorHeadPart	Addr	0x004362B0	0x0043D6E0
skse64/GameData.cpp	UpdateModelSkin	Addr	0x004365E0	0x0043DA10
skse64/GameData.cpp	UpdateModelHair	Addr	0x004366F0	0x0043DB20
skse64/GameData.cpp	LookupActorValueByName	Addr	0x0043BEA0	0x00443320
skse64/Hooks_Camera.cpp	kInstallCameraHook_Base	Addr	0x005511C0	0x00558F90
skse64/Hooks_SaveLoad.cpp	DeleteSaveGame_Enter	Addr	0x00601CA7	0x006143D7
skse64/Hooks_SaveLoad.cpp	DeleteSaveGame_Enter2	Addr	0x00601D17	0x00614447
skse64/Hooks_SaveLoad.cpp	SaveGame_HookTarget_Enter	Addr	0x0060FFF3	0x00622843
skse64/Hooks_SaveLoad.cpp	LoadGame_HookTarget_Enter	Addr	0x0061564F	0x00627ECF
skse64/GameMenus.cpp	CreateUIMessageData	Addr	0x0061BBA0	0x0062E440
skse64/Hooks_Event.cpp	PlayerControls_ctor_Call	Addr	0x0063F8CA	0x00651FFA
skse64/Hooks_Scaleform.cpp	kCtor_Base	Ptr	0x00640EC1	0x006535F1
skse64/Hooks_Data.cpp	LoadScripts_Enter	Addr	0x00642FC7	0x00655717
skse64/Hooks_SaveLoad.cpp	ProcessEvents_Enter	Addr	0x00645F3A	0x006586AA
skse64/Hooks_Threads.cpp	ProcessTasks_HookTarget_Enter	Addr	0x00646A3C	0x006591AC
skse64/Hooks_Threads.cpp	ProcessTasks_HookTarget_Enter2	Addr	0x006479FC	0x0065A17C
skse64/Hooks_NetImmerse.cpp	UpdateEquipment_Enter	Addr	0x007270A7	0x00739977
skse64/Hooks_Gameplay.cpp	kHook_Crosshair_LookupREFRByHandle_Enter	Addr	0x00744EB8	0x00757898
skse64/Hooks_Gameplay.cpp	kHook_ContainerMode_Base	Addr	0x008FC720	0x00912480
skse64/Hooks_Scaleform.cpp	kSetData_Base	Addr	0x00901E20	0x00917B80
skse64/Hooks_Scaleform.cpp	kExtendCategoryArgs_Base	Addr	0x0090F720	0x00925540
skse64/Hooks_Scaleform.cpp	kSetItemData_Base	Addr	0x009170E0	0x0092D170
skse64/Hooks_Scaleform.cpp	kSetMagicData_Base	Addr	0x009180F0	0x0092E180
skse64/Hooks_Scaleform.cpp	kSetVampireData_Base	Addr	0x00918380	0x0092E410
